route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,samtrafiken_internal_trip_number
9011001001000000,463,14010000702566590,,,1,3014010000309120140,30528
9011001001000000,463,14010000702567310,,,1,3014010000309120140,30561
9011001001000000,464,14010000702568838,,,1,3014010000309120140,30018
9011001001000000,464,14010000702569243,,,1,3014010000309120140,30051
9011001001000000,464,14010000702569333,,,1,3014010000309120140,30057
9011001001000000,464,14010000702569873,,,1,3014010000309120140,30085
9011001001000000,464,14010000702569963,,,1,3014010000309120140,30089
9011001001000000,464,14010000702570053,,,1,3014010000309120140,30093
9011001001000000,464,14010000702570143,,,1,3014010000309120140,30097
9011001001000000,464,14010000702570413,,,1,3014010000309120140,30109
9011001001000000,464,14010000702570503,,,1,3014010000309120140,30113
9011001001000000,464,14010000702570953,,,1,3014010000309120140,30133
9011001001000000,464,14010000702571313,,,1,3014010000309120140,30150
9011001001000000,464,14010000702571672,,,1,3014010000309120140,30167
9011001001000000,464,14010000702571917,,,1,3014010000309120140,30178
9011001001000000,464,14010000702572244,,,1,3014010000309120140,30197
9011001001000000,464,14010000702572416,,,1,3014010000309120140,30207
9011001001000000,464,14010000702572588,,,1,3014010000309120140,30215
9011001001000000,464,14010000702573534,,,1,3014010000309120140,30259
9011001001000000,464,14010000702573620,,,1,3014010000309120140,30263
9011001001000000,464,14010000702573964,,,1,3014010000309120140,30279
9011001001000000,464,14010000702574050,,,1,3014010000309120140,30283
9011001001000000,464,14010000702574308,,,1,3014010000309120140,30296
9011001001000000,464,14010000702574881,,,1,3014010000309120140,30327
9011001001000000,464,14010000702574971,,,1,3014010000309120140,30332
9011001001000000,464,14010000702575511,,,1,3014010000309120140,30357
9011001001000000,464,14010000702575961,,,1,3014010000309120140,30377
9011001001000000,464,14010000702576501,,,1,3014010000309120140,30401
9011001001000000,464,14010000702577311,,,1,3014010000309120140,30439
9011001001000000,464,14010000702577794,,,1,3014010000309120140,30466
9011001001000000,464,14010000702577880,,,1,3014010000309120140,30471
9011001001000000,434,14010000702560223,,,1,3014010000309120140,34097
9011001001000000,434,14010000702561303,,,1,3014010000309120140,34145
9011001001000000,463,14010000702566950,,,1,3014010000309120140,30545
9011001001000000,464,14010000702568928,,,1,3014010000309120140,30024
9011001001000000,464,14010000702569513,,,1,3014010000309120140,30068
9011001001000000,464,14010000702570683,,,1,3014010000309120140,30121
